credit_history,credit_amount,employment,property_magnitude,age,class
'critical/other existing credit',1169,>=7,'real estate',67,good
'existing paid',5951,1<=X<4,'real estate',22,bad
'critical/other existing credit',2096,4<=X<7,'real estate',49,good
'existing paid',7882,4<=X<7,'life insurance',45,good
'delayed previously',4870,1<=X<4,'no known property',53,bad
'existing paid',9055,1<=X<4,'no known property',35,good
'existing paid',2835,>=7,'life insurance',53,good
'existing paid',6948,1<=X<4,car,35,good
'existing paid',3059,4<=X<7,'real estate',61,good
'critical/other existing credit',5234,unemployed,car,28,bad
'existing paid',1295,<1,car,25,bad
'existing paid',4308,<1,'life insurance',24,bad
'existing paid',1567,1<=X<4,car,22,good
'critical/other existing credit',1199,>=7,car,60,bad
'existing paid',1403,1<=X<4,car,28,good
'existing paid',1282,1<=X<4,car,32,bad
'critical/other existing credit',2424,>=7,'life insurance',53,good
'no credits/all paid',8072,<1,car,25,good
'existing paid',12579,>=7,'no known property',44,bad
'existing paid',3430,>=7,car,31,good
'critical/other existing credit',2134,1<=X<4,car,48,good
'existing paid',2647,1<=X<4,'real estate',44,good
'critical/other existing credit',2241,<1,'real estate',48,good
'critical/other existing credit',1804,<1,'life insurance',44,good
'critical/other existing credit',2069,1<=X<4,car,26,good
'existing paid',1374,1<=X<4,'real estate',36,good
'no credits/all paid',426,>=7,car,39,good
'all paid',409,1<=X<4,'real estate',42,good
'existing paid',2415,1<=X<4,'real estate',34,good
'delayed previously',6836,>=7,'no known property',63,bad
'existing paid',1913,<1,'real estate',36,good
'existing paid',4020,1<=X<4,car,27,good
'existing paid',5866,1<=X<4,car,30,good
'critical/other existing credit',1264,>=7,'no known property',57,good
'existing paid',1474,<1,'life insurance',33,good
'critical/other existing credit',4746,<1,'life insurance',25,bad
'critical/other existing credit',6110,1<=X<4,'no known property',31,good
'existing paid',2100,1<=X<4,'real estate',37,bad
'existing paid',1225,1<=X<4,car,37,good
'existing paid',458,1<=X<4,'real estate',24,good
'existing paid',2333,>=7,car,30,good
'existing paid',1158,1<=X<4,car,26,good
'delayed previously',6204,1<=X<4,'real estate',44,good
'critical/other existing credit',6187,4<=X<7,car,24,good
'critical/other existing credit',6143,>=7,'no known property',58,bad
'critical/other existing credit',1393,<1,car,35,good
'existing paid',2299,>=7,car,39,good
'existing paid',1352,unemployed,'life insurance',23,good
'critical/other existing credit',7228,1<=X<4,'life insurance',39,good
'existing paid',2073,1<=X<4,'real estate',28,good
'delayed previously',2333,<1,'life insurance',29,good
'delayed previously',5965,>=7,car,30,good
'existing paid',1262,1<=X<4,car,25,good
'existing paid',3378,1<=X<4,'life insurance',31,good
'delayed previously',2225,>=7,'no known property',57,bad
'all paid',783,1<=X<4,'real estate',26,good
'existing paid',6468,unemployed,'no known property',52,bad
'critical/other existing credit',9566,1<=X<4,car,31,good
'existing paid',1961,>=7,car,23,good
'critical/other existing credit',6229,<1,'no known property',23,bad
'existing paid',1391,1<=X<4,'real estate',27,good
'critical/other existing credit',1537,>=7,'real estate',50,good
'no credits/all paid',1953,>=7,'no known property',61,bad
'no credits/all paid',14421,1<=X<4,car,25,bad
'existing paid',3181,<1,'life insurance',26,good
'existing paid',5190,>=7,'life insurance',48,good
'existing paid',2171,<1,car,29,good
'existing paid',1007,1<=X<4,'real estate',22,good
'existing paid',1819,1<=X<4,'no known property',37,bad
'existing paid',2394,1<=X<4,car,25,good
'existing paid',8133,1<=X<4,'life insurance',30,good
'critical/other existing credit',730,>=7,'life insurance',46,good
'critical/other existing credit',1164,>=7,'no known property',51,good
'critical/other existing credit',5954,4<=X<7,'real estate',41,good
'existing paid',1977,>=7,'no known property',40,bad
'critical/other existing credit',1526,>=7,'no known property',66,good
'existing paid',3965,<1,car,34,bad
'delayed previously',4771,4<=X<7,'life insurance',51,good
'no credits/all paid',9436,1<=X<4,'life insurance',39,good
'existing paid',3832,<1,'life insurance',22,good
'existing paid',5943,<1,car,44,bad
'existing paid',1213,>=7,'life insurance',47,good
'existing paid',1568,1<=X<4,'life insurance',24,good
'existing paid',1755,>=7,'real estate',58,good
'existing paid',2315,>=7,'real estate',52,good
'critical/other existing credit',1412,1<=X<4,'real estate',29,good
'critical/other existing credit',1295,<1,'life insurance',27,good
'existing paid',12612,1<=X<4,'no known property',47,bad
'existing paid',2249,4<=X<7,car,30,good
'no credits/all paid',1108,4<=X<7,'real estate',28,bad
'critical/other existing credit',618,>=7,'real estate',56,good
'critical/other existing credit',1409,>=7,'real estate',54,good
'critical/other existing credit',797,>=7,'life insurance',33,bad
'critical/other existing credit',3617,>=7,'no known property',20,good
'existing paid',1318,>=7,'real estate',54,good
'no credits/all paid',15945,<1,'no known property',58,bad
'critical/other existing credit',2012,4<=X<7,car,61,good
'existing paid',2622,1<=X<4,car,34,good
'critical/other existing credit',2337,>=7,'real estate',36,good
'delayed previously',7057,4<=X<7,'life insurance',36,good
'existing paid',1469,>=7,'real estate',41,good
'existing paid',2323,4<=X<7,car,24,good
'delayed previously',932,1<=X<4,'real estate',24,good
'critical/other existing credit',1919,4<=X<7,car,35,good
'existing paid',2445,<1,car,26,good
'critical/other existing credit',11938,1<=X<4,car,39,bad
'all paid',6458,>=7,'no known property',39,bad
'existing paid',6078,4<=X<7,car,32,good
'existing paid',7721,<1,'life insurance',30,good
'existing paid',1410,>=7,'real estate',35,good
'delayed previously',1449,>=7,car,31,good
'existing paid',392,<1,'life insurance',23,good
'existing paid',6260,4<=X<7,'real estate',28,good
'critical/other existing credit',7855,1<=X<4,'real estate',25,bad
'existing paid',1680,>=7,'real estate',35,good
'critical/other existing credit',3578,>=7,'real estate',47,good
'existing paid',7174,4<=X<7,car,30,bad
'critical/other existing credit',2132,<1,'real estate',27,good
'critical/other existing credit',4281,1<=X<4,car,23,bad
'critical/other existing credit',2366,4<=X<7,car,36,good
'existing paid',1835,1<=X<4,'real estate',25,bad
'critical/other existing credit',3868,>=7,car,41,good
'existing paid',1768,1<=X<4,'real estate',24,good
'critical/other existing credit',781,>=7,'no known property',63,good
'existing paid',1924,<1,'real estate',27,bad
'critical/other existing credit',2121,1<=X<4,'life insurance',30,good
'existing paid',701,1<=X<4,'real estate',40,good
'existing paid',639,1<=X<4,car,30,bad
'critical/other existing credit',1860,unemployed,car,34,good
'critical/other existing credit',3499,1<=X<4,'real estate',29,bad
'existing paid',8487,4<=X<7,car,24,good
'delayed previously',6887,1<=X<4,'life insurance',29,bad
'existing paid',2708,<1,'life insurance',27,good
'existing paid',1984,1<=X<4,'no known property',47,good
'existing paid',10144,4<=X<7,'real estate',21,good
'critical/other existing credit',1240,>=7,'real estate',38,good
'delayed previously',8613,1<=X<4,car,27,good
'existing paid',766,1<=X<4,'real estate',66,bad
'critical/other existing credit',2728,4<=X<7,'real estate',35,good
'existing paid',1881,1<=X<4,car,44,good
'existing paid',709,<1,'real estate',27,good
'existing paid',4795,<1,'no known property',30,good
'existing paid',3416,1<=X<4,car,27,good
'existing paid',2462,1<=X<4,car,22,bad
'critical/other existing credit',2288,<1,'life insurance',23,good
'all paid',3566,4<=X<7,car,30,good
'critical/other existing credit',860,>=7,'no known property',39,good
'critical/other existing credit',682,4<=X<7,car,51,good
'critical/other existing credit',5371,1<=X<4,'life insurance',28,good
'critical/other existing credit',1582,>=7,car,46,good
'existing paid',1346,>=7,'no known property',42,good
'existing paid',1924,1<=X<4,'life insurance',38,good
'existing paid',5848,1<=X<4,car,24,good
'critical/other existing credit',7758,>=7,'no known property',29,good
'delayed previously',6967,4<=X<7,car,36,good
'existing paid',1282,1<=X<4,car,20,bad
'critical/other existing credit',1288,>=7,'real estate',48,good
'all paid',339,>=7,car,45,good
'existing paid',3512,4<=X<7,car,38,good
'critical/other existing credit',1898,1<=X<4,'real estate',34,good
'critical/other existing credit',2872,>=7,'real estate',36,good
'critical/other existing credit',1055,<1,'life insurance',30,good
'existing paid',1262,4<=X<7,'life insurance',36,good
'existing paid',7308,unemployed,'no known property',70,good
'existing paid',909,>=7,'life insurance',36,good
'existing paid',2978,1<=X<4,car,32,good
'existing paid',1131,unemployed,car,33,bad
'existing paid',1577,<1,'real estate',20,good
'existing paid',3972,4<=X<7,'life insurance',25,good
'critical/other existing credit',1935,>=7,'real estate',31,bad
'no credits/all paid',950,>=7,car,33,bad
'existing paid',763,1<=X<4,'real estate',26,good
'delayed previously',2064,unemployed,'life insurance',34,bad
'existing paid',1414,1<=X<4,'real estate',33,good
'delayed previously',3414,<1,'life insurance',26,bad
'all paid',7485,unemployed,'real estate',53,bad
'existing paid',2577,1<=X<4,car,42,good
'critical/other existing credit',338,>=7,car,52,good
'existing paid',1963,4<=X<7,car,31,good
'critical/other existing credit',571,>=7,'real estate',65,good
'delayed previously',9572,<1,car,28,bad
'delayed previously',4455,1<=X<4,'real estate',30,bad
'all paid',1647,1<=X<4,'life insurance',40,bad
'critical/other existing credit',3777,1<=X<4,'real estate',50,good
'critical/other existing credit',884,>=7,car,36,bad
'critical/other existing credit',1360,1<=X<4,'life insurance',31,good
'all paid',5129,>=7,'no known property',74,bad
'critical/other existing credit',1175,unemployed,car,68,good
'existing paid',674,4<=X<7,'life insurance',20,bad
'no credits/all paid',3244,1<=X<4,car,33,good
'existing paid',4591,1<=X<4,'life insurance',54,bad
'no credits/all paid',3844,4<=X<7,'no known property',34,bad
'existing paid',3915,1<=X<4,car,36,bad
'existing paid',2108,4<=X<7,'real estate',29,good
'existing paid',3031,1<=X<4,'life insurance',21,bad
'critical/other existing credit',1501,>=7,car,34,bad
'critical/other existing credit',1382,1<=X<4,car,28,good
'existing paid',951,<1,car,27,bad
'existing paid',2760,>=7,'no known property',36,good
'delayed previously',4297,>=7,'no known property',40,bad
'critical/other existing credit',936,>=7,car,52,good
'existing paid',1168,1<=X<4,'real estate',27,good
'delayed previously',5117,4<=X<7,car,26,good
'existing paid',902,4<=X<7,'life insurance',21,bad
'critical/other existing credit',1495,>=7,'real estate',38,good
'critical/other existing credit',10623,>=7,'no known property',38,good
'critical/other existing credit',1935,>=7,'real estate',43,good
'critical/other existing credit',1424,4<=X<7,'life insurance',26,good
'existing paid',6568,1<=X<4,car,21,good
'existing paid',1413,4<=X<7,'life insurance',55,good
'critical/other existing credit',3074,1<=X<4,'real estate',33,good
'existing paid',3835,>=7,'real estate',45,good
'no credits/all paid',5293,unemployed,'life insurance',50,bad
'delayed previously',1908,>=7,'real estate',66,bad
'critical/other existing credit',3342,>=7,car,51,good
'critical/other existing credit',932,4<=X<7,'life insurance',39,good
'no credits/all paid',3104,4<=X<7,'life insurance',31,good
'existing paid',3913,1<=X<4,'real estate',23,good
'existing paid',3021,1<=X<4,'real estate',24,good
'existing paid',1364,1<=X<4,car,64,good
'existing paid',625,<1,'real estate',26,good
'existing paid',1200,1<=X<4,'life insurance',23,good
'existing paid',707,1<=X<4,'real estate',30,good
'delayed previously',2978,1<=X<4,'real estate',32,good
'existing paid',4657,1<=X<4,car,30,good
'no credits/all paid',2613,1<=X<4,car,27,good
'existing paid',10961,4<=X<7,'no known property',27,bad
'existing paid',7865,>=7,'no known property',53,bad
'existing paid',1478,4<=X<7,car,22,bad
'existing paid',3149,<1,'no known property',22,good
'existing paid',4210,1<=X<4,car,26,bad
'existing paid',2507,>=7,'no known property',51,good
'existing paid',2141,4<=X<7,'no known property',35,good
'existing paid',866,1<=X<4,'real estate',25,good
'critical/other existing credit',1544,4<=X<7,'real estate',42,good
'existing paid',1823,unemployed,car,30,bad
'existing paid',14555,unemployed,'life insurance',23,bad
'existing paid',2767,>=7,car,61,bad
'critical/other existing credit',1291,1<=X<4,'life insurance',35,good
'existing paid',2522,>=7,'life insurance',39,good
'existing paid',915,>=7,car,29,bad
'existing paid',1595,4<=X<7,'life insurance',51,good
'no credits/all paid',4605,>=7,'no known property',24,bad
'critical/other existing credit',1185,1<=X<4,'real estate',27,good
'all paid',3447,1<=X<4,'real estate',35,good
'existing paid',1258,4<=X<7,'real estate',25,good
'critical/other existing credit',717,>=7,'real estate',52,good
'no credits/all paid',1204,1<=X<4,'no known property',35,good
